[25-Mar-2019 20:04:56 America/New_York] PHP Deprecated:  Function AMQPQueue::declare() is deprecated in /var/www/poundperday/rabbitMQLib.inc on line 215
[25-Mar-2019 20:05:34 America/New_York] PHP Notice:  Undefined variable: response in /var/www/poundperday/ppdClient.php on line 62
[25-Mar-2019 20:05:34 America/New_York] PHP Notice:  Undefined variable: response in /var/www/poundperday/ppdClient.php on line 64
[25-Mar-2019 20:05:49 America/New_York] PHP Deprecated:  Function AMQPQueue::declare() is deprecated in /var/www/poundperday/rabbitMQLib.inc on line 215
[25-Mar-2019 20:06:46 America/New_York] PHP Deprecated:  Function AMQPQueue::declare() is deprecated in /var/www/poundperday/rabbitMQLib.inc on line 215
[25-Mar-2019 20:07:00 America/New_York] PHP Deprecated:  Function AMQPQueue::declare() is deprecated in /var/www/poundperday/rabbitMQLib.inc on line 215
[25-Mar-2019 20:07:00 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/profile.php on line 3
[25-Mar-2019 20:10:08 America/New_York] PHP Notice:  Undefined variable: response in /var/www/poundperday/ppdClient.php on line 62
[25-Mar-2019 20:10:08 America/New_York] PHP Notice:  Undefined variable: response in /var/www/poundperday/ppdClient.php on line 64
[25-Mar-2019 20:11:24 America/New_York] PHP Notice:  Undefined variable: response in /var/www/poundperday/ppdClient.php on line 62
[25-Mar-2019 20:11:24 America/New_York] PHP Notice:  Undefined variable: response in /var/www/poundperday/ppdClient.php on line 64
[25-Mar-2019 20:12:00 America/New_York] PHP Notice:  Undefined variable: response in /var/www/poundperday/ppdClient.php on line 62
[25-Mar-2019 20:12:00 America/New_York] PHP Notice:  Undefined variable: response in /var/www/poundperday/ppdClient.php on line 64
[25-Mar-2019 20:12:12 America/New_York] PHP Deprecated:  Function AMQPQueue::declare() is deprecated in /var/www/poundperday/rabbitMQLib.inc on line 215
[25-Mar-2019 20:12:26 America/New_York] PHP Deprecated:  Function AMQPQueue::declare() is deprecated in /var/www/poundperday/rabbitMQLib.inc on line 215
[25-Mar-2019 20:13:06 America/New_York] PHP Deprecated:  Function AMQPQueue::declare() is deprecated in /var/www/poundperday/rabbitMQLib.inc on line 215
[25-Mar-2019 20:13:17 America/New_York] PHP Deprecated:  Function AMQPQueue::declare() is deprecated in /var/www/poundperday/rabbitMQLib.inc on line 215
[25-Mar-2019 20:14:17 America/New_York] PHP Deprecated:  Function AMQPQueue::declare() is deprecated in /var/www/poundperday/rabbitMQLib.inc on line 215
[25-Mar-2019 20:14:17 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/profile.php on line 3
[25-Mar-2019 20:14:42 America/New_York] PHP Deprecated:  Function AMQPQueue::declare() is deprecated in /var/www/poundperday/rabbitMQLib.inc on line 215
[25-Mar-2019 20:14:42 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/profile.php on line 3
[25-Mar-2019 20:14:42 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/preferences.php on line 3
[25-Mar-2019 20:15:05 America/New_York] PHP Deprecated:  Function AMQPQueue::declare() is deprecated in /var/www/poundperday/rabbitMQLib.inc on line 215
[25-Mar-2019 20:15:05 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/preferences.php on line 3
[25-Mar-2019 20:15:08 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/updateprofile.php on line 3
[25-Mar-2019 20:15:54 America/New_York] PHP Deprecated:  Function AMQPQueue::declare() is deprecated in /var/www/poundperday/rabbitMQLib.inc on line 215
[25-Mar-2019 20:15:54 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/updateprofile.php on line 3
